template_name,card_name,record_type,question_label,question_data_name,question_input_type,function_name,function_body,function_args
Ironing & Laundry Shop,1- Basic Details,Question,Name of the Ironing & Laundry Shop.,businessName,text,,,[]
Ironing & Laundry Shop,1- Basic Details,Question,How long have you been operating this Ironing & Laundry Shop?,occVintage,number,,,[]
Ironing & Laundry Shop,1- Basic Details,Question,Where is the Ironing & Laundry Shop operated from?,typeOfBusinessLoc,radio,,,[]
Ironing & Laundry Shop,1- Basic Details,Question,Distance of the Ironing & Laundry Shop from the Residence (KM),businessPremiseDistanceFromResidence,number,,,[]
Ironing & Laundry Shop,1- Basic Details,Question,Ownership of Ironing & Laundry Shop.,businessPremiseOwnership,radio,,,[]
Ironing & Laundry Shop,1- Basic Details,Question,Size of the Ironing & Laundry Shop(Sq Ft).,businessPremiseSize,number,,,[]
Ironing & Laundry Shop,2.1 Owned,Question,Is Address on Ownership Proof Matching with Current Address?,isAddressMatch,radio,,,[]
Ironing & Laundry Shop,2.1 Owned,Question,Name of the Owner,ownerName,text,,,[]
Ironing & Laundry Shop,2.1 Owned,Question,Relationship with Borrower,ownershipRelationship,select,,,[]
Ironing & Laundry Shop,2.2 Rented,Question,Rent Amount,rentAmount,number,,,[]
Ironing & Laundry Shop,2.3 Leased ,Question,Remaining Lease Period,leasePeriod,number,,,[]
Ironing & Laundry Shop,3 Business Location,Function Definition,,,,isValidPinCode,"if (typeof window[""isValid""] === ""undefined"" || window[""isValid""] == null) {
    return { message: """", display: ""none"" }
  }
  if (window[""isValid""]) {
    const elements = [
      ""element-f11d8417-29a8-459b-b3ef-3b203a2cf188"",
      ""element-d29f1628-ad00-4eb9-b72b-d77259543ade"",
      ""element-f503870f-a1b3-4238-95df-25b860c2b61e"",
    ];
    elements.forEach(id => {
      const element = document.getElementById(id);
      if (element) {
        element.dispatchEvent(new Event(""input""));
      } else {
        console.warn(`Element with id ${id} not found.`);
      }
    })
    return { message: """", display: ""none"" }
  }
  return { message: ""Pincode doesn't exists!"", display: ""flex"" }","[""""]"
Ironing & Laundry Shop,3 Business Location,Question,Address Line 1,addressLine1,textArea,,,[]
Ironing & Laundry Shop,3 Business Location,Question,Address Line 2,addressLine2,textArea,,,[]
Ironing & Laundry Shop,3 Business Location,Question,Address Line 3,addressLine3,textArea,,,[]
Ironing & Laundry Shop,3 Business Location,Question,Enter Pincode,pincode,text,,,[]
Ironing & Laundry Shop,3 Business Location,Question,City,city,text,,,[]
Ironing & Laundry Shop,3 Business Location,Question,State,state,text,,,[]
Ironing & Laundry Shop,3 Business Location,Question,District,district,text,,,[]
Ironing & Laundry Shop,3 Business Location,Question,Name of the Document Provided for Business Address Proof ,businessAddressProodDocName,text,,,[]
Ironing & Laundry Shop,3 Business Location,Question,Landmark around Business Location,businessPremiseLandmark,text,,,[]
Ironing & Laundry Shop,6 Reference,Question,Reference 1 Name,reference1Name,text,,,[]
Ironing & Laundry Shop,6 Reference,Question,Reference 1 Mobile,reference1Mobile,number,,,[]
Ironing & Laundry Shop,6 Reference,Question,Reference 2 Name,reference2Name,text,,,[]
Ironing & Laundry Shop,6 Reference,Question,Reference 2 Mobile,reference2Mobile,number,,,[]
Ironing & Laundry Shop,7 RO Remarks,Question,RO Remarks,roRemarks,textArea,,,[]
